%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
96.0, -13056.9501953125, 6232.515625, -87463.984375, -78305.6015625, -28871.5234375, -46721.1796875, -34683.3359375, -29751.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2533906338503584, 0.809765659738332, 0.4421250238083303, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443967E9, 2020-12-18 16:13:14.944
98.0, -13063.07421875, 6089.173828125, -87473.328125, -78343.7578125, -28862.337890625, -46717.109375, -34689.66015625, -29752.943359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2533906338503584, 0.809765659738332, 0.4421250238083303, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444048E9, 2020-12-18 16:13:14.944
100.0, -13027.333984375, 6242.79736328125, -87506.7890625, -78378.78125, -28870.8984375, -46726.7890625, -34672.0234375, -29753.703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2533906338503584, 0.809765659738332, 0.4421250238083303, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944412E9, 2020-12-18 16:13:14.944
102.0, -13112.158203125, 6081.03759765625, -87569.9765625, -78463.4921875, -28912.181640625, -46784.32421875, -34710.828125, -29797.130859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2533906338503584, 0.809765659738332, 0.4421250238083303, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944422E9, 2020-12-18 16:13:14.944
104.0, -13368.2421875, 5821.19873046875, -87824.625, -78731.78125, -29168.421875, -47074.71484375, -34960.33984375, -30060.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225695323839318, 0.8238828594330698, 0.455062524182722, 192.0, 124.5, 104.0, 13.0, 24.0, 7.0, 80.0, 0.0, 0.0, 0.0, 1.6082971949444292E9, 2020-12-18 16:13:14.944
106.0, -13430.0224609375, 5832.55322265625, -87881.9375, -78799.3046875, -29240.037109375, -47151.40625, -35025.8984375, -30133.123046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225695323839318, 0.8238828594330698, 0.455062524182722, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444363E9, 2020-12-18 16:13:14.944
108.0, -13258.25, 5841.8740234375, -87681.9375, -78592.7734375, -29037.41796875, -46930.68359375, -34826.18359375, -29916.869140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225695323839318, 0.8238828594330698, 0.455062524182722, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944443E9, 2020-12-18 16:13:14.944
110.0, -13160.86328125, 6095.87939453125, -87651.5546875, -78548.875, -29000.76171875, -46879.80859375, -34802.22265625, -29889.646484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225695323839318, 0.8238828594330698, 0.455062524182722, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444504E9, 2020-12-18 16:13:14.944
112.0, -13128.1181640625, 6040.24560546875, -87602.515625, -78512.53125, -28941.060546875, -46828.1328125, -34736.59765625, -29825.607421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225695323839318, 0.8238828594330698, 0.455062524182722, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444573E9, 2020-12-18 16:13:14.944
114.0, -13033.5927734375, 6140.359375, -87517.6484375, -78431.125, -28858.693359375, -46732.01953125, -34656.109375, -29741.23046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21884766811854206, 0.8139414397301152, 0.47553127293940634, 192.0, 124.5, 48.0, 12.5, 16.0, 7.5, 64.0, 0.0, 0.0, 0.0, 1.608297194944464E9, 2020-12-18 16:13:14.944
116.0, -13035.447265625, 6246.77587890625, -87543.328125, -78464.2109375, -28879.01171875, -46746.390625, -34665.1171875, -29749.90234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21884766811854206, 0.8139414397301152, 0.47553127293940634, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944471E9, 2020-12-18 16:13:14.944
118.0, -12990.0068359375, 6117.02392578125, -87465.7265625, -78421.046875, -28799.3046875, -46679.3125, -34588.1171875, -29671.58203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21884766811854206, 0.8139414397301152, 0.47553127293940634, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944478E9, 2020-12-18 16:13:14.944
120.0, -12961.865234375, 6299.4140625, -87487.25, -78445.234375, -28830.5078125, -46690.46875, -34624.08203125, -29706.115234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21884766811854206, 0.8139414397301152, 0.47553127293940634, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444852E9, 2020-12-18 16:13:14.944
122.0, -12988.2626953125, 6183.296875, -87482.109375, -78462.265625, -28813.85546875, -46680.6328125, -34576.203125, -29661.568359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21884766811854206, 0.8139414397301152, 0.47553127293940634, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949444928E9, 2020-12-18 16:13:14.944
124.0, -12929.142578125, 6229.453125, -87432.46875, -78417.765625, -28762.24609375, -46630.02734375, -34540.9765625, -29634.58984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.216423842284712, 0.8019707305938937, 0.49076565745053813, 192.0, 124.5, 40.0, 12.0, 88.0, 7.5, 104.0, 0.0, 0.0, 0.0, 1.6082971949445E9, 2020-12-18 16:13:14.944
126.0, -12978.875, 6287.94775390625, -87498.0234375, -78470.4453125, -28841.6171875, -46700.48046875, -34626.1796875, -29712.060546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.216423842284712, 0.8019707305938937, 0.49076565745053813, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445071E9, 2020-12-18 16:13:14.944
128.0, -12978.9423828125, 6135.9560546875, -87441.8984375, -78415.390625, -28783.255859375, -46659.578125, -34563.1484375, -29657.58984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.216423842284712, 0.8019707305938937, 0.49076565745053813, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445145E9, 2020-12-18 16:13:14.944
130.0, -12880.125, 6370.15771484375, -87368.1171875, -78318.4765625, -28727.48828125, -46594.578125, -34507.5625, -29604.19140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.216423842284712, 0.8019707305938937, 0.49076565745053813, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944522E9, 2020-12-18 16:13:14.944
132.0, -12805.8505859375, 6304.73388671875, -87204.1171875, -78107.5234375, -28614.6796875, -46498.734375, -34380.66796875, -29473.880859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.216423842284712, 0.8019707305938937, 0.49076565745053813, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445293E9, 2020-12-18 16:13:14.944
134.0, -12856.3876953125, 6374.6279296875, -87200.6796875, -78044.21875, -28652.275390625, -46519.6328125, -34427.67578125, -29527.748046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21921193002344808, 0.8089853874698747, 0.43838283242075704, 192.0, 124.5, 8.0, 12.5, 64.0, 6.0, 8.0, 0.0, 0.0, 0.0, 1.6082971949445364E9, 2020-12-18 16:13:14.944
136.0, -12951.8740234375, 6345.2578125, -87312.703125, -78154.34375, -28754.265625, -46605.93359375, -34554.6328125, -29634.857421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21921193002344808, 0.8089853874698747, 0.43838283242075704, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445462E9, 2020-12-18 16:13:14.944
138.0, -12997.2255859375, 6146.43896484375, -87307.5390625, -78143.4375, -28756.322265625, -46619.078125, -34542.69921875, -29626.85546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21921193002344808, 0.8089853874698747, 0.43838283242075704, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445539E9, 2020-12-18 16:13:14.944
140.0, -13021.052734375, 6298.52001953125, -87332.328125, -78149.5859375, -28796.869140625, -46660.09375, -34593.76953125, -29683.697265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21921193002344808, 0.8089853874698747, 0.43838283242075704, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944561E9, 2020-12-18 16:13:14.944
142.0, -13082.20703125, 6140.60498046875, -87376.6953125, -78192.0078125, -28839.001953125, -46704.4609375, -34642.609375, -29716.017578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21921193002344808, 0.8089853874698747, 0.43838283242075704, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445689E9, 2020-12-18 16:13:14.944
144.0, -13025.27734375, 6154.03857421875, -87324.4375, -78146.65625, -28788.3984375, -46647.9765625, -34580.5625, -29658.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22960596978009562, 0.8124927159078652, 0.4561914345686091, 192.0, 124.0, 64.0, 12.5, 64.0, 7.0, 104.0, 0.0, 0.0, 0.0, 1.608297194944576E9, 2020-12-18 16:13:14.944
146.0, -13055.720703125, 6257.37060546875, -87398.984375, -78217.78125, -28852.681640625, -46711.63671875, -34648.82421875, -29732.69140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22960596978009562, 0.8124927159078652, 0.4561914345686091, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445837E9, 2020-12-18 16:13:14.944
148.0, -13057.642578125, 6085.955078125, -87390.9140625, -78212.7265625, -28816.671875, -46685.015625, -34611.05078125, -29698.984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22960596978009562, 0.8124927159078652, 0.4561914345686091, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445908E9, 2020-12-18 16:13:14.944
150.0, -13011.888671875, 6287.8583984375, -87409.9375, -78224.6640625, -28823.490234375, -46669.7265625, -34619.9453125, -29698.896484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22960596978009562, 0.8124927159078652, 0.4561914345686091, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949445982E9, 2020-12-18 16:13:14.944
